subID,domEyeR,threshStHi,threshStLo,thresh,Trial_number,Sentence_ID,Sentence_pixel_length,Congruent_1,Familiar_1,LocationTop_1,Cued_1,Trialcorrect_1,Trialbroken_1,ST
23,0,0.222,0.141,0.182,1,9,125,1,0,0,1,0,0,5.0112
23,0,0.222,0.141,0.182,2,13,118,1,1,1,0,0,0,5.0119
23,0,0.222,0.141,0.182,3,5,129,0,0,0,1,1,1,3.0771
23,0,0.222,0.141,0.182,4,30,96,1,1,0,1,1,1,3.0666
23,0,0.222,0.141,0.182,5,10,124,1,0,0,1,1,1,2.7139
23,0,0.222,0.141,0.182,6,15,116,1,0,0,1,1,1,1.6792
23,0,0.222,0.141,0.182,7,19,115,1,1,0,1,1,1,1.3635
23,0,0.222,0.141,0.182,8,8,128,0,0,0,1,1,1,1.2802
23,0,0.222,0.141,0.182,9,1,134,1,1,0,1,1,1,1.5802
23,0,0.222,0.141,0.182,10,12,117,0,1,0,1,1,1,1.5494
23,0,0.222,0.141,0.182,11,6,129,0,0,0,1,1,1,2.0855
23,0,0.222,0.141,0.182,12,14,115,0,0,1,0,1,1,2.0391
23,0,0.222,0.141,0.182,13,2,131,1,1,1,0,1,1,1.8676
23,0,0.222,0.141,0.182,14,9,125,1,0,1,0,1,1,2.022
23,0,0.222,0.141,0.182,15,2,133,0,1,0,1,1,1,1.4461
23,0,0.222,0.141,0.182,16,20,115,0,1,0,1,1,1,1.5616
23,0,0.222,0.141,0.182,17,1,134,1,0,1,0,1,1,1.7686
23,0,0.222,0.141,0.182,19,11,125,0,0,0,1,1,1,1.5413
23,0,0.222,0.141,0.182,20,7,127,1,0,1,0,1,1,1.4411
23,0,0.222,0.141,0.182,21,28,100,0,0,0,1,1,1,1.1849
23,0,0.222,0.141,0.182,22,19,115,1,1,1,0,1,1,1.7708
23,0,0.222,0.141,0.182,24,23,109,1,0,0,1,1,1,1.3981
23,0,0.222,0.141,0.182,25,20,115,0,0,1,0,1,1,1.5723
23,0,0.222,0.141,0.182,26,25,111,0,1,0,1,1,1,1.8996
23,0,0.222,0.141,0.182,27,26,106,1,1,0,1,1,1,1.6768
